Run,Reward,Success,Elimination
464,114.79,True,False
465,20.31,True,False
466,-22.94,False,False
467,38.72,True,True
468,-30.46,False,True
469,-1.76,False,True
470,20.17,True,True
471,82.83,True,False
472,-48.59,False,True
473,-97.4,False,False
474,23.82,True,True
475,37.61,True,True
476,-97.05,False,False
477,23.83,True,True
478,134.52,True,False
479,24.8,True,True
480,-34.71,False,True
481,35.09,True,True
482,44.25,True,True
483,94.08,True,True
484,15.71,True,True
485,71.66,True,True
486,-86.28,False,False
487,32.1,True,True
488,-63.86,False,False
489,-21.81,False,False
490,-40.67,False,False
491,62.32,True,True
492,-68.68,False,False
493,22.58,True,False
494,-29.05,False,False
495,25.48,True,False
496,-25.79,False,False
497,-24.69,False,False
498,26.37,True,True
499,63.83,True,True
500,-70.76,False,False
501,21.89,True,True
502,-36.51,False,False
503,156.73,True,True
504,-20.55,False,False
505,63.52,True,True
506,37.44,True,True
507,108.38,True,True
508,-32.0,False,False
509,-78.62,False,False
510,-29.44,False,False
511,-29.88,False,False
512,-69.21,False,False
513,-91.59,False,False
514,1.29,True,True
515,12.97,True,False
516,189.61,True,True
517,84.96,True,False
518,8.33,True,True
519,-30.92,False,False
520,-14.92,False,False
521,102.63,True,False
522,3.37,True,True
523,-37.53,False,False
524,221.15,True,True
525,-34.86,False,False
526,-39.81,False,False
527,15.04,True,True
528,-98.55,False,False
529,14.64,True,True
530,-35.43,False,False
531,7.21,True,False
532,-34.96,False,False
533,75.09,True,True
534,74.3,True,True
535,-73.58,False,False
536,-39.98,False,False
537,84.4,True,True
538,-81.19,False,False
539,-78.85,False,False
540,129.17,True,False
541,17.31,True,False
542,15.16,True,True
543,-80.44,False,False
544,104.31,True,False
545,-115.4,False,False
546,-24.25,False,True
547,-117.89,False,False
548,-25.15,False,False
549,5.04,True,True
550,-27.95,False,False
551,37.14,True,True
552,8.29,True,True
553,45.58,True,True
554,-35.0,False,False
555,24.39,True,True
556,-122.16,False,False
557,84.36,True,False
558,78.01,True,False
559,233.84,True,True
560,-29.19,False,False
561,47.54,True,True
562,8.95,True,True
563,89.18,True,True
564,79.92,True,False
565,18.66,True,True
566,-54.67,False,True
567,-26.1,False,False
568,-82.17,False,False
569,-31.47,False,True
570,-44.99,False,False
571,-12.74,False,True
572,-47.18,False,True
573,-57.01,False,False
574,-3.01,False,True
575,71.81,True,True
576,69.38,True,True
577,-46.76,False,False
578,25.34,True,True
579,125.75,True,True
580,2.63,True,True
581,19.32,True,True
582,112.74,True,True
583,14.85,True,True
584,46.66,True,True
585,150.1,True,False
586,-82.79,False,False
587,45.61,True,True
588,81.81,True,False
589,43.67,True,True
590,16.71,True,True
591,-33.54,False,False
592,12.32,True,True
593,-84.28,False,False
594,-14.48,False,False
595,103.31,True,False
596,-5.04,False,True
597,97.33,True,True
598,-48.02,False,False
599,1.11,True,True
600,-2.19,False,True
601,113.13,True,True
602,-7.48,False,False
603,-71.04,False,False
