Run,AvgReward,SuccessRate,ElimRate
6404,-38.76083333333333,24.666666666666668,25.0
6405,-26.80333333333333,33.5,47.0
6406,15.313333333333333,46.5,21.166666666666668
6407,-12.854999999999999,29.666666666666668,28.166666666666668
6408,-75.115,6.166666666666667,24.666666666666668
6409,74.64166666666667,73.33333333333333,10.0
6410,38.88,61.166666666666664,18.833333333333332
6411,-42.36083333333333,19.166666666666668,30.333333333333332
6412,-50.84916666666667,11.5,40.333333333333336
6413,-54.0675,12.333333333333334,24.333333333333332
6414,7.795833333333333,60.0,50.0
6415,-4.747499999999999,39.333333333333336,28.833333333333332
6416,-48.623333333333335,18.666666666666668,28.333333333333332
6417,-43.36416666666667,17.166666666666668,23.333333333333332
6418,30.833333333333332,54.833333333333336,21.5
6419,-17.160833333333333,38.833333333333336,47.666666666666664
6420,-31.004166666666666,22.833333333333332,22.0
6421,17.335,42.0,17.666666666666668
6422,-15.3825,36.5,50.0
6423,-32.483333333333334,24.666666666666668,28.166666666666668
6424,-20.018333333333334,27.0,22.0
6425,-26.24416666666667,28.333333333333332,27.5
6426,-31.45583333333333,27.333333333333332,33.166666666666664
6427,25.291666666666668,57.833333333333336,19.5
6428,-57.23416666666666,11.833333333333334,22.666666666666668
6429,-53.5225,12.666666666666666,22.333333333333332
6430,22.209999999999997,48.666666666666664,20.666666666666668
6431,-33.520833333333336,25.833333333333332,33.5
6432,-13.102500000000001,29.166666666666668,27.333333333333332
6433,19.419166666666666,50.333333333333336,20.0
6434,36.90833333333333,62.333333333333336,17.666666666666668
6435,-35.00083333333333,20.333333333333332,26.166666666666668
6436,0.26083333333333414,48.166666666666664,50.0
6437,-35.9825,21.666666666666668,27.333333333333332
6438,-40.0075,21.5,21.5
6439,36.73833333333334,62.666666666666664,24.333333333333332
6440,38.04666666666667,49.666666666666664,11.0
6441,-26.514166666666668,22.333333333333332,24.0
6442,-36.14666666666667,23.833333333333332,36.666666666666664
6443,-76.08583333333333,3.8333333333333335,29.166666666666668
6444,-36.70583333333334,14.833333333333334,19.166666666666668
6445,-56.2925,13.0,19.166666666666668
6446,-60.12166666666667,16.666666666666668,23.833333333333332
6447,-53.528333333333336,16.5,35.5
6448,-30.102500000000003,22.833333333333332,23.166666666666668
6449,39.267500000000005,61.166666666666664,23.833333333333332
6450,-57.637499999999996,10.0,24.333333333333332
6451,-32.64083333333333,25.166666666666668,31.333333333333332
6452,-11.434166666666668,32.666666666666664,31.166666666666668
6453,-68.01083333333334,12.166666666666666,30.333333333333332
6454,-58.2175,11.5,25.333333333333332
6455,114.9325,92.66666666666667,7.333333333333333
6456,-19.413333333333334,18.333333333333332,15.666666666666666
6457,-6.390833333333333,35.333333333333336,23.833333333333332
6458,-33.56166666666667,25.333333333333332,28.0
6459,-58.01083333333333,15.0,26.166666666666668
6460,32.189166666666665,52.833333333333336,20.666666666666668
6461,-27.925,24.5,50.0
6462,-23.85666666666667,23.0,25.333333333333332
6463,-53.665,16.833333333333332,40.333333333333336
6464,-36.63166666666667,22.0,20.833333333333332
6465,61.711666666666666,73.83333333333333,50.0
6466,-22.881666666666664,32.666666666666664,39.0
6467,-56.72666666666667,14.666666666666666,21.333333333333332
6468,-40.125,17.166666666666668,20.333333333333332
6469,-48.37166666666667,14.166666666666666,25.666666666666668
6470,6.7725,45.833333333333336,28.333333333333332
6471,-17.003333333333334,40.0,48.833333333333336
6472,-43.01166666666666,13.0,16.333333333333332
6473,26.030833333333334,56.5,20.333333333333332
6474,17.8,48.0,22.333333333333332
6475,-46.32416666666666,14.166666666666666,27.666666666666668
6476,176.6158333333333,100.0,50.0
6477,-51.134166666666665,14.166666666666666,25.333333333333332
6478,-55.83166666666667,8.5,50.0
6479,-40.3775,15.333333333333334,22.333333333333332
6480,20.1275,58.5,50.0
6481,-24.963333333333335,35.5,50.0
6482,-54.405,10.0,18.0
6483,-32.775,29.166666666666668,50.0
6484,17.334999999999997,53.666666666666664,19.5
6485,-56.88,16.166666666666668,50.0
6486,29.96166666666667,57.833333333333336,19.666666666666668
6487,26.786666666666665,53.5,19.5
6488,-51.79916666666667,13.5,17.166666666666668
6489,-67.13416666666667,9.333333333333334,24.0
6490,-32.7475,28.0,48.833333333333336
6491,-28.849999999999998,28.333333333333332,38.833333333333336
6492,-49.725,14.5,28.0
6493,-51.343333333333334,11.5,21.5
6494,-43.401666666666664,19.666666666666668,22.333333333333332
6495,-10.840000000000002,33.333333333333336,22.5
6496,92.65916666666668,79.33333333333333,42.666666666666664
6497,-42.87166666666667,23.5,32.0
6498,-16.74833333333333,26.833333333333332,23.833333333333332
6499,-35.891666666666666,18.833333333333332,26.5
6500,-36.10583333333333,27.833333333333332,50.0
6501,-1.3441666666666665,40.333333333333336,15.666666666666666
6502,29.255,54.333333333333336,21.833333333333332
6503,-30.816666666666666,22.5,25.5
6504,142.79166666666666,100.0,3.5
6505,-58.5675,12.333333333333334,20.5
6506,-61.685,8.0,19.166666666666668
6507,-30.866666666666664,28.333333333333332,47.666666666666664
6508,-31.14,17.166666666666668,21.833333333333332
6509,-2.166666666666667,35.0,28.5
6510,-46.50666666666667,21.833333333333332,25.666666666666668
6511,-34.36666666666667,18.5,23.166666666666668
6512,10.914166666666667,39.5,19.166666666666668
6513,28.479166666666668,53.0,20.833333333333332
6514,-31.235,25.666666666666668,28.833333333333332
6515,14.251666666666665,54.166666666666664,50.0
6516,41.67666666666667,69.5,50.0
6517,5.034166666666667,43.833333333333336,29.166666666666668
6518,-47.86083333333334,18.833333333333332,28.333333333333332
6519,-38.91583333333333,20.0,24.166666666666668
6520,-13.674166666666666,25.666666666666668,20.333333333333332
6521,-50.17666666666667,17.333333333333332,26.666666666666668
6522,45.7475,69.33333333333333,50.0
6523,-11.285000000000002,26.166666666666668,24.166666666666668
6524,4.948333333333333,51.166666666666664,22.666666666666668
6525,-46.2925,19.166666666666668,31.5
6526,-14.0175,31.666666666666668,27.0
6527,28.695000000000004,55.0,47.333333333333336
6528,-10.490833333333333,31.5,24.666666666666668
6529,-40.8125,21.666666666666668,28.166666666666668
6530,-56.70583333333334,10.666666666666666,20.333333333333332
6531,-51.63583333333333,16.166666666666668,19.666666666666668
6532,-77.89,5.0,25.0
6533,-29.507499999999997,21.833333333333332,24.666666666666668
6534,-4.3741666666666665,39.166666666666664,40.333333333333336
6535,15.574166666666665,53.333333333333336,22.833333333333332
6536,-36.208333333333336,18.333333333333332,24.166666666666668
6537,-69.70166666666667,5.666666666666667,25.0
6538,-78.635,4.5,24.5
6539,-2.888333333333333,47.333333333333336,46.5
6540,-31.44666666666667,24.166666666666668,25.0
6541,-37.96,16.0,25.333333333333332
6542,0.9416666666666664,45.5,23.5
6543,2.223333333333333,51.0,39.0
6544,64.375,65.83333333333333,13.166666666666666
6545,11.0625,53.833333333333336,50.0
6546,45.15833333333333,66.66666666666667,19.666666666666668
6547,-38.42583333333334,17.166666666666668,21.5
6548,28.14833333333333,58.833333333333336,25.333333333333332
6549,-61.59583333333333,10.0,39.166666666666664
6550,-29.125,27.0,39.666666666666664
6551,140.67499999999998,100.0,3.0
6552,-57.65833333333333,10.0,21.166666666666668
6553,-2.5333333333333328,39.833333333333336,28.333333333333332
6554,-8.227500000000001,32.333333333333336,26.5
6555,-40.25416666666667,17.833333333333332,23.666666666666668
6556,-15.639166666666668,25.833333333333332,23.833333333333332
6557,18.3175,54.666666666666664,41.166666666666664
6558,-11.402500000000002,29.5,19.833333333333332
6559,-14.150833333333333,30.333333333333332,19.5
6560,59.105,76.33333333333333,28.0
6561,-32.473333333333336,20.833333333333332,31.166666666666668
6562,30.5775,57.833333333333336,22.0
6563,53.21333333333334,70.33333333333333,50.0
6564,-56.5025,12.0,16.833333333333332
6565,42.42333333333333,76.5,20.0
6566,-53.63333333333333,13.166666666666666,25.5
6567,18.268333333333334,57.0,50.0
6568,136.335,98.83333333333333,2.6666666666666665
6569,62.0725,77.0,50.0
6570,7.054166666666666,40.166666666666664,20.666666666666668
6571,-52.73,14.166666666666666,22.333333333333332
6572,53.251666666666665,72.16666666666667,50.0
6573,-13.375833333333333,26.0,18.0
6574,45.67083333333333,71.16666666666667,39.5
6575,17.05,48.333333333333336,15.333333333333334
6576,62.362500000000004,63.5,15.333333333333334
6577,27.980833333333333,57.666666666666664,20.5
6578,-36.4525,15.833333333333334,21.666666666666668
6579,42.80583333333333,71.33333333333333,16.5
6580,28.24083333333333,53.833333333333336,19.166666666666668
6581,-44.8825,19.166666666666668,14.5
6582,-1.1141666666666665,38.5,28.166666666666668
6583,-16.05,39.166666666666664,50.0
6584,-39.93,18.333333333333332,30.333333333333332
6585,17.7425,46.0,13.0
6586,-41.90916666666667,18.833333333333332,22.666666666666668
6587,-41.91916666666666,18.166666666666668,25.166666666666668
6588,-4.73,31.833333333333332,25.333333333333332
6589,-34.69833333333333,19.666666666666668,24.666666666666668
6590,-4.5575,39.666666666666664,42.333333333333336
6591,7.5125,42.666666666666664,20.333333333333332
6592,18.331666666666667,50.833333333333336,25.333333333333332
6593,-41.156666666666666,19.333333333333332,26.833333333333332
6594,-20.669999999999998,27.833333333333332,25.833333333333332
6595,-51.46,13.5,39.666666666666664
6596,-7.387499999999999,31.166666666666668,29.666666666666668
6597,-45.218333333333334,18.166666666666668,28.833333333333332
6598,134.39916666666667,100.0,3.8333333333333335
6599,-69.75416666666666,10.833333333333334,33.666666666666664
6600,-34.205,18.0,22.5
6601,-52.505833333333335,13.166666666666666,28.5
6602,-51.836666666666666,13.5,25.666666666666668
6603,-16.640833333333333,22.666666666666668,20.333333333333332
6604,-43.48083333333333,14.5,29.0
6605,9.344166666666666,46.0,42.5
6606,-33.14083333333333,32.333333333333336,48.5
6607,41.615,55.166666666666664,17.666666666666668
6608,-48.68833333333333,14.5,28.833333333333332
6609,19.475833333333334,54.666666666666664,35.5
6610,-20.6375,37.666666666666664,44.166666666666664
6611,-49.1775,15.0,21.5
6612,-2.34,45.666666666666664,50.0
6613,-52.166666666666664,14.666666666666666,29.333333333333332
6614,-22.5175,29.333333333333332,25.333333333333332
6615,-40.345,16.833333333333332,24.5
6616,16.135,51.666666666666664,22.5
6617,-36.586666666666666,21.166666666666668,35.333333333333336
6618,49.11916666666667,69.66666666666667,50.0
6619,80.08583333333333,85.33333333333333,20.0
6620,-45.18333333333334,19.5,24.166666666666668
6621,-7.8566666666666665,32.0,24.333333333333332
6622,-25.334999999999997,21.0,17.833333333333332
6623,18.3675,53.833333333333336,20.333333333333332
6624,-48.990833333333335,12.166666666666666,19.0
6625,-36.6325,23.0,27.666666666666668
6626,-24.454166666666666,21.0,17.5
6627,-21.0075,29.166666666666668,25.333333333333332
6628,-40.67416666666667,25.5,33.166666666666664
6629,-42.95416666666667,16.166666666666668,20.833333333333332
6630,-10.0875,34.0,27.833333333333332
6631,-43.98166666666666,19.333333333333332,29.0
6632,-60.7225,13.5,30.5
6633,-51.51166666666666,11.666666666666666,22.333333333333332
6634,13.435833333333333,48.833333333333336,42.333333333333336
6635,-17.416666666666668,22.666666666666668,20.333333333333332
6636,-43.080000000000005,14.5,15.333333333333334
6637,21.625,52.833333333333336,30.833333333333332
6638,-40.968333333333334,14.5,25.666666666666668
6639,-40.299166666666665,17.833333333333332,23.833333333333332
6640,40.56416666666667,65.83333333333333,24.0
6641,-76.71,4.666666666666667,23.5
6642,-73.1475,9.333333333333334,23.833333333333332
6643,21.284166666666668,49.166666666666664,19.666666666666668
6644,45.215833333333336,56.5,14.666666666666666
6645,-12.435,35.5,31.666666666666668
6646,-34.46,26.333333333333332,27.833333333333332
6647,-35.0675,23.5,25.0
6648,-48.41833333333333,16.833333333333332,28.0
6649,24.110833333333332,49.5,17.666666666666668
6650,-28.03333333333333,27.666666666666668,27.666666666666668
6651,-23.866666666666664,22.166666666666668,23.333333333333332
6652,51.09583333333333,66.83333333333333,50.0
6653,36.80166666666667,54.0,18.0
6654,-56.57333333333333,13.833333333333334,28.5
6655,-34.44833333333333,24.0,27.833333333333332
6656,11.615833333333333,44.5,16.0
6657,-56.92916666666667,13.0,24.166666666666668
6658,4.725833333333333,34.833333333333336,17.166666666666668
6659,-42.729166666666664,26.0,34.833333333333336
6660,170.70833333333334,100.0,43.833333333333336
6661,-53.443333333333335,11.833333333333334,23.333333333333332
6662,19.659166666666668,48.166666666666664,17.0
6663,29.219166666666666,51.833333333333336,18.5
6664,7.4558333333333335,55.833333333333336,50.0
6665,-47.20333333333334,15.333333333333334,25.333333333333332
6666,-0.9241666666666669,47.5,22.833333333333332
6667,27.09166666666667,55.166666666666664,21.833333333333332
6668,1.461666666666667,41.833333333333336,21.0
6669,125.78500000000001,95.33333333333333,6.5
6670,-77.745,8.0,27.333333333333332
6671,25.08083333333333,47.333333333333336,15.5
6672,119.51416666666667,94.33333333333333,21.166666666666668
6673,-70.16166666666666,13.0,26.833333333333332
6674,-71.12833333333333,6.166666666666667,22.0
6675,72.93416666666667,72.33333333333333,12.833333333333334
6676,11.016666666666666,43.0,23.5
6677,-24.985833333333332,25.666666666666668,23.833333333333332
6678,-37.23833333333334,22.0,28.166666666666668
6679,-44.807500000000005,21.166666666666668,27.666666666666668
6680,-4.13,43.833333333333336,42.333333333333336
6681,34.91916666666666,59.5,17.333333333333332
6682,73.69500000000001,74.33333333333333,17.666666666666668
6683,36.11333333333334,57.166666666666664,16.833333333333332
6684,-36.54833333333333,22.0,25.833333333333332
6685,4.6383333333333345,50.833333333333336,39.666666666666664
6686,-39.00333333333334,13.5,20.333333333333332
6687,-49.653333333333336,7.5,7.166666666666667
6688,-43.719166666666666,15.0,19.166666666666668
6689,3.643333333333333,34.5,17.166666666666668
6690,-74.62583333333333,11.5,22.333333333333332
6691,5.009166666666666,39.0,25.0
6692,-51.66416666666667,15.0,25.5
6693,47.01833333333334,66.33333333333333,35.333333333333336
6694,-75.49,7.666666666666667,27.666666666666668
6695,29.425833333333333,58.166666666666664,22.333333333333332
6696,-78.99083333333333,7.333333333333333,27.666666666666668
6697,24.23166666666667,53.0,23.333333333333332
6698,3.6233333333333335,51.5,50.0
6699,-46.99583333333334,14.5,28.0
6700,-34.08833333333333,21.5,32.166666666666664
6701,-46.12166666666667,15.333333333333334,17.166666666666668
6702,59.8325,72.66666666666667,17.0
6703,30.858333333333334,56.5,18.833333333333332
6704,-72.80333333333333,11.166666666666666,28.833333333333332
6705,-55.99666666666667,12.666666666666666,18.833333333333332
6706,102.02083333333333,74.83333333333333,42.5
6707,23.541666666666668,51.833333333333336,20.0
6708,21.944166666666664,50.333333333333336,17.5
6709,34.0425,57.0,22.833333333333332
6710,-33.420833333333334,25.5,32.0
6711,78.15083333333332,86.33333333333333,14.666666666666666
6712,14.401666666666666,52.166666666666664,28.166666666666668
6713,-0.7308333333333338,40.666666666666664,25.333333333333332
6714,-6.9508333333333345,37.0,35.833333333333336
6715,32.846666666666664,63.0,31.166666666666668
6716,26.785,52.166666666666664,21.666666666666668
6717,29.5425,49.166666666666664,16.833333333333332
6718,-31.59,24.166666666666668,28.833333333333332
6719,-52.11416666666667,15.666666666666666,20.666666666666668
6720,-58.475,6.833333333333333,20.0
6721,-37.174166666666665,24.833333333333332,50.0
6722,97.395,84.5,50.0
6723,37.300000000000004,64.16666666666667,22.333333333333332
6724,-31.700833333333332,29.166666666666668,50.0
6725,-4.700833333333334,33.0,25.0
6726,-28.561666666666667,25.333333333333332,27.333333333333332
6727,30.863333333333333,61.5,31.5
6728,-27.367500000000003,32.333333333333336,50.0
6729,-35.84083333333333,26.333333333333332,34.333333333333336
6730,-36.66833333333333,21.833333333333332,23.0
6731,-51.6325,16.166666666666668,23.0
6732,-50.75083333333333,15.833333333333334,21.166666666666668
6733,142.34916666666666,100.0,6.5
6734,72.715,73.83333333333333,15.5
6735,-65.69583333333334,12.666666666666666,22.333333333333332
6736,-23.875833333333333,33.333333333333336,47.666666666666664
6737,-44.26083333333333,13.833333333333334,19.166666666666668
6738,45.278333333333336,63.833333333333336,50.0
6739,11.671666666666667,51.166666666666664,50.0
6740,-40.255833333333335,18.5,23.0
6741,150.43833333333333,88.5,46.5
6742,-4.039166666666666,32.833333333333336,20.5
6743,-42.40083333333333,11.0,21.833333333333332
6744,22.245833333333334,57.0,17.333333333333332
6745,-34.69,18.333333333333332,18.666666666666668
6746,-44.87416666666667,20.166666666666668,28.666666666666668
6747,28.6575,57.833333333333336,22.833333333333332
6748,-59.80833333333334,9.666666666666666,27.666666666666668
6749,-46.714166666666664,11.5,20.833333333333332
6750,11.090833333333334,39.166666666666664,17.333333333333332
6751,-29.684166666666666,25.0,24.666666666666668
6752,-37.94083333333334,17.333333333333332,32.333333333333336
6753,36.534166666666664,58.166666666666664,21.5
6754,-27.054166666666664,16.833333333333332,16.833333333333332
6755,29.791666666666668,49.0,14.5
6756,30.607499999999998,55.166666666666664,21.833333333333332
6757,-18.360833333333336,32.333333333333336,24.333333333333332
6758,-65.90083333333334,10.0,18.333333333333332
6759,137.9825,100.0,0.0
6760,-26.409166666666664,32.333333333333336,47.333333333333336
6761,-34.7275,24.5,46.166666666666664
6762,-10.160833333333333,30.166666666666668,25.833333333333332
6763,-80.37333333333333,1.8333333333333333,23.333333333333332
6764,-33.44416666666667,26.0,29.0
6765,-30.8575,27.0,35.5
6766,-14.526666666666666,44.0,50.0
6767,48.259166666666665,73.33333333333333,16.833333333333332
6768,-48.594166666666666,15.0,27.5
6769,-73.26916666666666,9.333333333333334,26.333333333333332
6770,30.313333333333333,50.666666666666664,19.666666666666668
6771,-73.71916666666667,10.333333333333334,22.166666666666668
6772,-36.36333333333334,21.833333333333332,29.5
6773,11.229166666666666,55.666666666666664,50.0
6774,12.2475,47.5,20.166666666666668
6775,-32.52,13.0,15.333333333333334
6776,-37.885,21.166666666666668,24.666666666666668
6777,-40.979166666666664,18.833333333333332,25.333333333333332
6778,-38.21333333333333,20.166666666666668,24.0
6779,-4.510833333333333,35.833333333333336,24.166666666666668
6780,28.360833333333332,56.5,48.833333333333336
6781,-47.1475,16.833333333333332,28.833333333333332
6782,-44.057500000000005,15.0,21.833333333333332
6783,-44.02166666666667,15.666666666666666,21.833333333333332
6784,4.278333333333333,52.666666666666664,50.0
6785,-30.852499999999996,30.833333333333332,50.0
6786,2.2624999999999997,36.5,28.833333333333332
6787,-43.32749999999999,22.0,29.0
6788,21.308333333333334,47.166666666666664,22.666666666666668
6789,-16.39,42.333333333333336,48.5
6790,-26.9225,26.333333333333332,25.833333333333332
6791,121.54666666666667,94.66666666666667,21.666666666666668
6792,-33.225,25.0,24.5
6793,-23.684166666666666,26.5,47.666666666666664
6794,-33.72416666666667,26.5,32.333333333333336
6795,99.895,95.33333333333333,17.0
6796,85.2275,85.83333333333333,21.333333333333332
6797,12.371666666666668,44.666666666666664,25.5
6798,94.75333333333333,81.83333333333333,8.5
6799,-63.895833333333336,12.333333333333334,18.0
6800,23.3075,49.166666666666664,17.666666666666668
6801,13.878333333333332,46.166666666666664,33.833333333333336
6802,9.362499999999999,50.0,50.0
6803,-53.04416666666666,13.5,24.333333333333332
6804,-24.005,21.833333333333332,20.666666666666668
6805,-30.9075,33.5,48.833333333333336
6806,-38.54333333333333,17.166666666666668,21.5
6807,-1.5200000000000002,37.166666666666664,22.666666666666668
6808,73.83416666666666,80.0,23.833333333333332
6809,29.13083333333333,52.833333333333336,22.333333333333332
6810,60.0325,82.16666666666667,20.833333333333332
6811,-20.25916666666667,23.333333333333332,22.666666666666668
6812,60.16166666666667,67.66666666666667,26.166666666666668
6813,-53.15416666666667,14.333333333333334,22.5
6814,8.429166666666665,48.833333333333336,50.0
6815,136.48,100.0,3.8333333333333335
6816,14.699999999999998,53.333333333333336,45.0
