Run,AvgReward,SuccessRate,ElimRate
397,26.85,30.0,0.0
398,-17.73,10.0,0.0
399,132.3,100.0,0.0
400,-43.76,0.0,0.0
401,-77.64,0.0,0.0
402,-32.57,20.0,0.0
403,-41.85,0.0,0.0
404,12.72,20.0,0.0
405,-50.19,0.0,0.0
406,27.17,40.0,0.0
407,-4.56,20.0,0.0
408,-80.35,0.0,0.0
409,-25.88,20.0,0.0
410,-58.89,20.0,0.0
411,-75.56,0.0,0.0
412,133.41,100.0,0.0
413,-62.81,0.0,0.0
414,0.67,40.0,0.0
415,-26.95,0.0,0.0
416,61.92,60.0,0.0
417,-40.49,0.0,0.0
418,27.23,40.0,0.0
419,-13.92,20.0,0.0
420,-37.52,0.0,0.0
421,-67.35,0.0,0.0
422,118.52,100.0,0.0
423,5.76,40.0,0.0
424,-41.05,20.0,0.0
425,66.01,60.0,0.0
426,-59.62,0.0,0.0
427,-29.36,0.0,0.0
428,-51.49,0.0,0.0
429,54.3,60.0,0.0
430,25.71,40.0,0.0
431,-15.42,20.0,0.0
432,-40.06,20.0,0.0
433,8.11,20.0,0.0
434,-47.87,0.0,0.0
435,-31.42,20.0,0.0
436,6.5,20.0,0.0
437,-28.45,20.0,0.0
438,-58.92,0.0,0.0
439,-43.21,0.0,0.0
440,-55.57,0.0,0.0
441,139.21,100.0,0.0
442,-67.48,0.0,0.0
443,138.31,100.0,0.0
444,143.76,100.0,0.0
445,-38.65,0.0,0.0
446,-55.36,0.0,0.0
447,-47.19,0.0,0.0
448,-4.95,40.0,0.0
449,-37.17,20.0,0.0
450,-30.56,20.0,0.0
451,-24.39,20.0,0.0
452,-13.06,20.0,0.0
453,127.91,100.0,0.0
454,21.32,40.0,0.0
455,-30.07,20.0,0.0
456,-4.81,20.0,0.0
457,79.4,60.0,0.0
458,-62.83,0.0,0.0
459,11.53,40.0,0.0
460,-8.22,20.0,0.0
461,19.08,20.0,0.0
462,-2.85,20.0,0.0
463,-28.66,20.0,0.0
464,105.72,80.0,0.0
465,-51.84,0.0,0.0
466,-42.39,0.0,0.0
467,10.44,20.0,0.0
468,-17.84,20.0,0.0
469,6.31,20.0,0.0
470,-65.15,0.0,0.0
471,-11.36,20.0,0.0
472,37.47,40.0,0.0
473,28.49,40.0,0.0
474,-70.93,0.0,0.0
475,7.41,20.0,0.0
476,-55.73,0.0,0.0
477,-56.72,0.0,0.0
478,-27.49,20.0,0.0
479,-45.42,0.0,0.0
480,-37.09,20.0,0.0
481,-67.14,0.0,0.0
482,13.62,40.0,0.0
483,-65.08,0.0,0.0
484,-73.11,0.0,0.0
485,-23.45,0.0,0.0
486,-13.1,20.0,0.0
487,-27.0,20.0,0.0
488,-18.11,20.0,0.0
489,-42.74,20.0,0.0
490,-65.25,0.0,0.0
491,22.97,40.0,0.0
492,-58.69,0.0,0.0
493,105.75,100.0,0.0
494,-68.27,0.0,0.0
495,40.5,60.0,0.0
496,-34.39,0.0,0.0
497,23.22,40.0,0.0
498,78.2,60.0,0.0
499,18.79,40.0,0.0
500,-19.19,0.0,0.0
501,-24.0,20.0,0.0
502,-26.38,20.0,0.0
503,1.15,40.0,0.0
504,2.88,40.0,0.0
505,-24.21,0.0,0.0
506,49.11,40.0,0.0
507,-47.82,0.0,0.0
508,-26.49,20.0,0.0
509,133.86,100.0,0.0
510,148.12,100.0,0.0
511,-59.15,0.0,0.0
512,-33.97,0.0,0.0
513,-32.52,0.0,0.0
514,63.71,60.0,0.0
515,-29.81,20.0,0.0
516,128.09,100.0,0.0
517,162.02,100.0,0.0
518,-39.9,0.0,0.0
519,21.66,40.0,0.0
520,9.92,20.0,0.0
521,1.84,40.0,0.0
522,134.17,100.0,0.0
523,-33.0,0.0,0.0
524,-67.82,0.0,0.0
525,-25.28,20.0,0.0
526,-26.87,0.0,0.0
527,-6.88,20.0,0.0
528,-6.79,20.0,0.0
529,-63.19,0.0,0.0
530,-30.6,20.0,0.0
531,-65.24,0.0,0.0
532,60.93,60.0,0.0
533,15.33,40.0,0.0
534,-20.7,20.0,0.0
535,-13.4,20.0,0.0
536,-39.15,0.0,0.0
537,-21.57,0.0,0.0
538,-24.19,20.0,0.0
539,-3.1,20.0,0.0
540,-14.86,20.0,0.0
541,10.26,20.0,0.0
542,18.16,40.0,0.0
543,-15.28,0.0,0.0
544,-10.09,20.0,0.0
545,-51.09,0.0,0.0
546,-7.74,20.0,0.0
547,-47.99,0.0,0.0
548,-48.29,0.0,0.0
549,-38.1,0.0,0.0
550,-46.16,0.0,0.0
551,10.88,40.0,0.0
552,-59.93,0.0,0.0
553,-35.9,20.0,0.0
554,153.05,100.0,0.0
555,-39.38,0.0,0.0
556,-13.45,20.0,0.0
557,-16.56,20.0,0.0
558,56.74,60.0,0.0
559,-36.95,0.0,0.0
560,54.61,40.0,0.0
561,-15.28,20.0,0.0
562,-5.96,20.0,0.0
563,-36.14,0.0,0.0
564,47.54,40.0,0.0
565,-3.26,0.0,0.0
566,-67.58,0.0,0.0
567,-70.32,0.0,0.0
568,-18.24,20.0,0.0
569,-23.31,20.0,0.0
570,-59.73,0.0,0.0
571,-2.49,20.0,0.0
572,-63.6,0.0,0.0
573,12.04,20.0,0.0
574,-15.18,20.0,0.0
575,10.22,20.0,0.0
576,-69.36,0.0,0.0
577,1.88,40.0,0.0
578,-77.51,0.0,0.0
579,-39.5,0.0,0.0
580,-66.08,0.0,0.0
581,5.97,20.0,0.0
582,-43.42,0.0,0.0
583,-7.01,20.0,0.0
584,1.93,20.0,0.0
585,-60.58,0.0,0.0
586,-34.49,0.0,0.0
587,-11.89,20.0,0.0
588,-43.98,0.0,0.0
589,-26.75,0.0,0.0
590,60.95,60.0,0.0
591,10.22,20.0,0.0
592,-42.78,0.0,0.0
593,86.04,60.0,0.0
594,155.92,100.0,0.0
595,-57.79,0.0,0.0
596,16.65,40.0,0.0
597,-20.74,20.0,0.0
598,-33.87,20.0,0.0
599,-18.28,20.0,0.0
600,7.36,20.0,0.0
601,146.0,100.0,0.0
602,-63.71,0.0,0.0
603,-44.46,20.0,0.0
604,21.03,40.0,0.0
605,-16.36,20.0,0.0
606,-19.64,20.0,0.0
607,-21.11,0.0,0.0
608,59.33,60.0,0.0
609,-57.21,0.0,0.0
610,3.58,20.0,0.0
611,-40.02,0.0,0.0
612,23.52,40.0,0.0
613,-31.99,20.0,0.0
614,-39.13,0.0,0.0
615,-7.78,20.0,0.0
616,-13.48,20.0,0.0
617,-70.73,0.0,0.0
618,-56.93,0.0,0.0
619,-52.23,0.0,0.0
620,-68.45,0.0,0.0
621,-21.85,20.0,0.0
622,-13.36,20.0,0.0
623,9.21,40.0,0.0
624,-53.17,0.0,0.0
625,168.02,100.0,0.0
626,-6.78,20.0,0.0
627,-12.01,20.0,0.0
628,139.38,100.0,0.0
629,10.0,40.0,0.0
630,-41.48,0.0,0.0
631,-0.05,20.0,0.0
632,-23.63,20.0,0.0
633,-29.23,0.0,0.0
634,-14.35,20.0,0.0
635,-21.83,20.0,0.0
636,0.88,20.0,0.0
637,-11.23,20.0,0.0
638,-45.74,0.0,0.0
639,-52.88,20.0,0.0
640,-41.0,0.0,0.0
641,-3.14,20.0,0.0
642,-55.31,0.0,0.0
643,24.68,40.0,0.0
644,-46.36,0.0,0.0
645,2.07,40.0,0.0
646,134.29,100.0,0.0
647,-40.91,0.0,0.0
648,150.09,100.0,0.0
649,34.03,40.0,0.0
650,32.54,40.0,0.0
651,-57.35,0.0,0.0
652,-51.66,0.0,0.0
653,-19.62,20.0,0.0
654,-23.78,20.0,0.0
655,-52.42,0.0,0.0
656,-33.99,0.0,0.0
657,-41.51,0.0,0.0
658,-6.42,40.0,0.0
659,-5.0,40.0,0.0
660,-23.37,20.0,0.0
661,-45.57,20.0,0.0
662,41.7,60.0,0.0
663,-46.13,0.0,0.0
664,-9.84,20.0,0.0
665,-46.68,0.0,0.0
666,139.04,100.0,0.0
667,-61.22,0.0,0.0
668,20.14,40.0,0.0
669,39.67,40.0,0.0
670,-62.52,0.0,0.0
671,-62.16,0.0,0.0
672,-24.46,20.0,0.0
673,32.64,20.0,0.0
674,-23.08,0.0,0.0
675,-2.66,20.0,0.0
676,-31.51,0.0,0.0
677,8.89,40.0,0.0
678,-71.27,0.0,0.0
679,-40.31,0.0,0.0
680,-20.31,0.0,0.0
681,24.01,20.0,0.0
682,14.71,20.0,0.0
683,-23.81,0.0,0.0
684,-4.35,20.0,0.0
685,54.46,60.0,0.0
686,-29.61,20.0,0.0
687,-36.99,0.0,0.0
688,-76.83,0.0,0.0
689,-33.54,0.0,0.0
690,-35.37,0.0,0.0
691,12.41,20.0,0.0
692,-31.19,20.0,0.0
693,135.23,100.0,0.0
694,-20.04,20.0,0.0
695,-98.28,0.0,0.0
696,-70.27,0.0,0.0
697,-61.4,0.0,0.0
698,-76.69,0.0,0.0
699,7.33,20.0,0.0
700,-17.21,20.0,0.0
701,-44.1,0.0,0.0
702,132.61,100.0,0.0
703,-16.12,20.0,0.0
704,-5.53,20.0,0.0
705,28.25,40.0,0.0
706,-49.41,0.0,0.0
707,12.08,20.0,0.0
708,-57.87,0.0,0.0
709,15.66,20.0,0.0
710,-4.42,40.0,0.0
711,-10.98,0.0,0.0
712,-51.61,0.0,0.0
713,-44.98,20.0,0.0
714,-49.74,0.0,0.0
715,-8.03,20.0,0.0
716,13.22,40.0,0.0
717,-71.53,0.0,0.0
718,-6.82,20.0,0.0
719,-34.0,20.0,0.0
720,33.16,40.0,0.0
721,-29.96,20.0,0.0
722,-10.93,20.0,0.0
723,-9.92,20.0,0.0
724,-28.96,0.0,0.0
725,2.74,40.0,0.0
726,-8.34,20.0,0.0
727,-38.2,0.0,0.0
728,9.05,20.0,0.0
729,-2.41,40.0,0.0
730,4.39,20.0,0.0
731,38.7,40.0,0.0
732,-30.69,20.0,0.0
733,-39.71,0.0,0.0
734,18.43,40.0,0.0
735,-61.88,0.0,0.0
736,-68.1,0.0,0.0
737,-61.43,0.0,0.0
738,-64.21,0.0,0.0
739,2.87,20.0,0.0
740,-8.55,40.0,0.0
741,-0.85,20.0,0.0
742,61.08,60.0,0.0
743,-42.98,0.0,0.0
744,-50.78,0.0,0.0
745,-57.54,0.0,0.0
746,65.91,80.0,0.0
747,-31.48,20.0,0.0
748,-71.19,0.0,0.0
749,-8.38,20.0,0.0
750,19.62,40.0,0.0
751,-63.07,0.0,0.0
752,-0.46,20.0,0.0
753,-4.88,20.0,0.0
754,-48.56,0.0,0.0
755,-55.33,0.0,0.0
756,17.32,20.0,0.0
757,44.87,60.0,0.0
758,-4.48,20.0,0.0
759,-36.15,0.0,0.0
760,43.38,40.0,0.0
761,-10.11,20.0,0.0
762,-48.42,0.0,0.0
763,-29.67,0.0,0.0
764,-48.17,0.0,0.0
765,13.62,40.0,0.0
766,41.09,40.0,0.0
767,-55.06,0.0,0.0
768,-26.79,20.0,0.0
769,-25.49,0.0,0.0
770,-46.07,0.0,0.0
771,-75.14,0.0,0.0
772,-64.21,0.0,0.0
773,60.6,80.0,0.0
774,-39.91,20.0,0.0
775,-9.98,20.0,0.0
776,-30.11,20.0,0.0
777,16.18,40.0,0.0
778,-54.5,0.0,0.0
779,-57.8,0.0,0.0
780,21.91,40.0,0.0
781,-9.2,20.0,0.0
782,-47.14,0.0,0.0
783,-27.59,0.0,0.0
784,-22.19,20.0,0.0
785,33.74,40.0,0.0
786,48.73,60.0,0.0
787,-73.57,0.0,0.0
788,139.49,100.0,0.0
789,3.91,20.0,0.0
790,121.48,100.0,0.0
791,-52.68,0.0,0.0
792,-74.64,0.0,0.0
793,-60.58,0.0,0.0
794,-14.57,40.0,0.0
795,-61.0,0.0,0.0
796,-54.8,0.0,0.0
797,-20.21,0.0,0.0
798,8.15,20.0,0.0
799,-64.74,0.0,0.0
800,56.57,60.0,0.0
801,50.56,60.0,0.0
802,-57.22,0.0,0.0
803,-69.4,0.0,0.0
804,-59.86,0.0,0.0
805,-40.24,0.0,0.0
806,19.46,40.0,0.0
807,-65.21,0.0,0.0
808,-58.66,0.0,0.0
809,13.4,20.0,0.0
810,-0.29,20.0,0.0
811,6.97,20.0,0.0
812,-23.45,20.0,0.0
813,-12.36,20.0,0.0
814,-3.35,20.0,0.0
815,-50.34,20.0,0.0
816,-15.44,20.0,0.0
817,-44.74,0.0,0.0
818,-64.05,20.0,0.0
819,-24.98,20.0,0.0
820,-51.47,0.0,0.0
821,30.14,40.0,0.0
822,-29.08,20.0,0.0
823,-69.36,0.0,0.0
824,-26.51,20.0,0.0
825,-72.87,0.0,0.0
826,-7.55,20.0,0.0
827,-41.38,0.0,0.0
828,41.11,40.0,0.0
829,-3.33,20.0,0.0
830,-64.42,0.0,0.0
831,135.33,100.0,0.0
832,115.15,100.0,0.0
833,-8.97,20.0,0.0
834,-6.39,20.0,0.0
835,-31.59,20.0,0.0
836,-39.05,0.0,0.0
837,-63.43,0.0,0.0
838,-62.44,0.0,0.0
839,3.04,20.0,0.0
840,3.4,20.0,0.0
841,4.93,40.0,0.0
842,15.3,40.0,0.0
843,66.47,60.0,0.0
844,-15.85,20.0,0.0
845,-46.23,0.0,0.0
846,7.43,40.0,0.0
847,-5.54,20.0,0.0
848,-59.83,0.0,0.0
849,-25.18,20.0,0.0
850,-13.62,0.0,0.0
851,28.27,20.0,0.0
852,11.63,20.0,0.0
853,-36.7,0.0,0.0
854,28.88,40.0,0.0
855,24.24,40.0,0.0
856,-67.68,0.0,0.0
857,-35.34,0.0,0.0
858,-22.49,20.0,0.0
859,-23.89,0.0,0.0
860,123.69,100.0,0.0
861,-56.12,0.0,0.0
862,-15.75,20.0,0.0
863,44.02,60.0,0.0
864,53.91,40.0,0.0
865,25.14,20.0,0.0
866,8.12,20.0,0.0
867,-51.14,0.0,0.0
868,-0.74,20.0,0.0
869,-70.49,0.0,0.0
870,48.74,40.0,0.0
871,-29.39,20.0,0.0
872,-16.29,20.0,0.0
873,-46.49,0.0,0.0
874,120.72,100.0,0.0
875,-19.39,20.0,0.0
876,-48.83,0.0,0.0
877,140.4,100.0,0.0
878,-47.2,0.0,0.0
879,69.52,60.0,0.0
880,-53.6,0.0,0.0
881,-50.96,0.0,0.0
882,-40.67,0.0,0.0
883,-16.44,20.0,0.0
884,-56.44,0.0,0.0
885,-15.02,20.0,0.0
886,10.12,40.0,0.0
887,29.49,40.0,0.0
888,-17.62,20.0,0.0
889,-48.53,0.0,0.0
890,54.63,60.0,0.0
891,-5.12,20.0,0.0
892,-17.23,20.0,0.0
893,-19.77,20.0,0.0
894,20.75,40.0,0.0
895,-23.42,20.0,0.0
896,-78.73,0.0,0.0
897,-42.66,20.0,0.0
898,-40.94,0.0,0.0
899,-48.62,0.0,0.0
900,-9.88,20.0,0.0
901,-5.25,20.0,0.0
902,-5.17,20.0,0.0
903,58.09,40.0,0.0
904,-10.03,20.0,0.0
905,24.73,40.0,0.0
906,-72.9,0.0,0.0
907,-54.1,0.0,0.0
908,-13.37,20.0,0.0
909,-54.42,0.0,0.0
910,-68.92,0.0,0.0
911,-43.94,0.0,0.0
912,17.33,40.0,0.0
913,-53.93,0.0,0.0
914,-24.4,20.0,0.0
915,-35.69,20.0,0.0
916,48.24,60.0,0.0
917,-36.24,0.0,0.0
918,-80.11,0.0,0.0
919,-50.76,0.0,0.0
920,-67.34,0.0,0.0
921,30.27,40.0,0.0
922,28.2,20.0,0.0
923,-51.23,0.0,0.0
924,-32.75,0.0,0.0
925,-70.73,0.0,0.0
926,-1.83,20.0,0.0
927,-84.49,0.0,0.0
928,11.12,40.0,0.0
929,-71.02,0.0,0.0
930,7.7,20.0,0.0
931,-33.8,20.0,0.0
932,136.0,100.0,0.0
933,131.33,100.0,0.0
934,-22.81,20.0,0.0
935,117.67,100.0,0.0
936,-54.01,0.0,0.0
