Run,Reward,Success,Elimination
483,-76.84,False,False
484,-142.06,False,False
485,-33.19,False,False
486,-94.57,False,False
487,-40.77,False,False
488,93.58,True,False
489,-84.61,False,False
490,-61.22,False,False
491,-54.16,False,False
492,81.02,True,False
493,-87.55,False,False
494,-54.79,False,False
495,-24.64,False,False
496,-118.62,False,False
497,-11.31,False,False
498,-64.29,False,False
499,-21.23,False,False
500,-48.06,False,False
501,-50.93,False,False
502,100.53,True,False
503,-105.45,False,False
504,-41.54,False,False
505,-64.73,False,False
506,-80.71,False,False
507,-54.25,False,False
508,-34.09,False,False
509,131.85,True,False
510,82.15,True,False
511,-80.25,False,False
512,-82.01,False,False
513,-81.61,False,False
514,-106.65,False,False
515,88.03,True,False
516,0.13,True,False
517,-33.27,False,False
518,-26.62,False,False
519,-82.39,False,False
520,-96.34,False,False
521,-74.44,False,False
522,-79.33,False,False
523,-108.93,False,False
524,-56.09,False,False
525,-35.43,False,False
526,-72.45,False,False
527,-29.35,False,False
528,-89.38,False,False
529,-74.77,False,False
530,-84.5,False,False
531,-34.99,False,False
532,26.53,True,False
533,-34.88,False,False
534,-85.2,False,False
535,-40.42,False,False
536,-75.67,False,False
537,-26.59,False,False
538,-8.8,False,False
539,-45.24,False,False
540,120.59,True,False
541,-31.96,False,False
542,130.56,True,False
543,83.54,True,False
544,-46.79,False,False
545,176.91,True,False
546,-112.26,False,False
547,21.63,True,False
548,-2.81,False,False
549,-2.21,False,False
550,-96.9,False,False
551,-46.27,False,False
552,-65.09,False,False
553,-54.38,False,False
554,-107.66,False,False
555,134.39,True,False
556,-10.43,False,False
557,-42.13,False,False
558,33.44,True,False
559,-33.36,False,False
560,-14.86,False,False
561,2.0,True,False
562,-56.02,False,False
563,-62.92,False,False
564,-85.05,False,False
565,-81.57,False,False
566,-25.39,False,False
567,-12.47,False,False
568,-92.84,False,False
569,184.8,True,False
570,78.39,True,False
571,-48.27,False,False
572,-114.55,False,False
573,138.19,True,False
574,-81.06,False,False
575,-34.53,False,False
576,-75.46,False,False
577,-34.95,False,False
578,-38.86,False,False
579,-12.67,False,False
580,-79.36,False,False
581,124.64,True,False
582,-17.26,False,False
583,-57.32,False,False
584,-71.28,False,False
585,88.84,True,False
586,-56.77,False,False
587,-42.23,False,False
588,-15.38,False,False
589,-34.96,False,False
590,-24.91,False,False
591,-34.97,False,False
592,-54.71,False,False
593,14.02,True,False
594,130.15,True,False
595,-49.76,False,False
596,-80.61,False,False
597,-102.77,False,False
598,-61.61,False,False
599,-83.53,False,False
600,43.96,True,False
601,160.18,True,False
602,-25.61,False,False
603,-40.83,False,False
604,-41.15,False,False
605,162.27,True,False
606,-79.79,False,False
607,-57.67,False,False
608,-70.63,False,False
609,-58.63,False,False
610,-70.58,False,False
611,-37.29,False,False
612,123.37,True,False
613,-34.68,False,False
614,107.26,True,False
615,-29.8,False,False
616,-101.62,False,False
617,-13.8,False,False
618,-3.49,False,False
619,-72.92,False,False
620,-49.33,False,False
621,-13.66,False,False
622,-103.02,False,False
623,-98.12,False,False
624,-69.09,False,False
625,-15.56,False,False
626,-18.51,False,False
627,-6.03,False,False
628,131.88,True,False
629,-83.78,False,False
630,-35.0,False,False
631,-57.0,False,False
632,-45.71,False,False
633,-121.09,False,False
634,-45.29,False,False
635,-90.76,False,False
636,-64.53,False,False
637,-29.46,False,False
638,-70.41,False,False
639,-60.54,False,False
640,75.7,True,False
641,-54.97,False,False
642,-31.67,False,False
643,-67.73,False,False
644,-52.88,False,False
645,-69.11,False,False
646,-35.5,False,False
647,-55.31,False,False
648,-35.76,False,False
649,-55.9,False,False
650,-60.08,False,False
651,-17.21,False,False
652,-27.3,False,False
653,75.95,True,False
654,-24.27,False,False
655,-48.18,False,False
656,-42.22,False,False
657,114.43,True,False
658,-15.18,False,False
659,-117.51,False,False
660,81.86,True,False
661,-66.03,False,False
662,-73.23,False,False
663,-29.02,False,False
664,-72.16,False,False
665,159.93,True,False
666,-41.03,False,False
667,-50.36,False,False
668,-14.84,False,False
669,-25.98,False,False
670,116.0,True,False
671,-142.67,False,False
672,-77.92,False,False
673,-102.01,False,False
674,-30.25,False,False
675,-58.59,False,False
676,-104.05,False,False
677,6.53,True,False
678,-17.86,False,False
679,-31.83,False,False
680,-46.92,False,False
681,-30.43,False,False
682,-67.64,False,False
683,-75.95,False,False
684,-39.74,False,False
685,100.14,True,False
686,-32.78,False,False
687,-59.9,False,False
688,138.63,True,False
689,-48.33,False,False
690,-33.9,False,False
691,-44.23,False,False
692,-1.41,False,False
693,-67.71,False,False
694,-68.87,False,False
695,-63.56,False,False
696,-50.37,False,False
697,-75.71,False,False
698,-36.45,False,False
699,-114.12,False,False
700,-55.2,False,False
701,111.78,True,False
702,-119.39,False,False
703,-40.16,False,False
704,-35.75,False,False
705,-18.76,False,False
706,-107.65,False,False
707,-30.25,False,False
708,-55.38,False,False
709,-116.02,False,False
710,-117.49,False,False
711,-46.09,False,False
712,-68.3,False,False
713,-45.16,False,False
714,-44.86,False,False
715,-15.58,False,False
716,-0.52,False,False
717,-136.33,False,False
718,-46.04,False,False
719,-35.74,False,False
720,-73.69,False,False
721,-60.07,False,False
722,98.26,True,False
723,-77.26,False,False
724,106.19,True,False
725,-40.82,False,False
726,-22.41,False,False
727,-20.53,False,False
728,-62.97,False,False
729,-15.23,False,False
730,-25.76,False,False
731,-34.69,False,False
732,-90.28,False,False
733,-72.57,False,False
734,-57.29,False,False
735,-98.44,False,False
736,-44.53,False,False
737,-42.4,False,False
738,-61.3,False,False
739,-5.57,False,False
740,-115.35,False,False
741,-78.83,False,False
742,-36.16,False,False
743,23.7,True,False
744,-38.28,False,False
745,-79.1,False,False
746,-33.35,False,False
747,-60.75,False,False
748,-1.29,False,False
749,-102.44,False,False
750,130.46,True,False
751,-44.36,False,False
752,-54.7,False,False
753,-44.48,False,False
754,-54.16,False,False
755,20.97,True,False
756,20.18,True,False
757,-38.56,False,False
758,-107.33,False,False
759,-46.55,False,False
760,150.61,True,False
761,153.07,True,False
762,-26.46,False,False
763,85.2,True,False
764,-108.75,False,False
765,-27.23,False,False
766,84.5,True,False
767,-50.08,False,False
768,-54.99,False,False
769,104.88,True,False
770,-124.99,False,False
771,-40.02,False,False
772,-99.76,False,False
773,-35.3,False,False
774,-48.82,False,False
775,-43.8,False,False
776,84.05,True,False
777,-79.82,False,False
778,-87.08,False,False
779,-64.76,False,False
780,-149.15,False,False
781,94.1,True,False
782,-104.98,False,False
783,-48.65,False,False
784,5.17,True,False
785,-81.76,False,False
786,1.52,True,False
787,-82.37,False,False
788,141.68,True,False
789,-82.89,False,False
790,-24.3,False,False
791,-57.15,False,False
792,-101.61,False,False
793,-30.8,False,False
794,-50.98,False,False
795,-58.75,False,False
796,-63.73,False,False
797,169.03,True,False
798,-116.6,False,False
799,115.62,True,False
800,-31.26,False,False
801,122.06,True,False
802,-70.75,False,False
803,-37.77,False,False
804,-64.41,False,False
805,-16.09,False,False
806,-36.48,False,False
807,-105.47,False,False
808,-72.04,False,False
809,-34.83,False,False
810,-35.62,False,False
811,-68.78,False,False
812,-100.22,False,False
813,-100.76,False,False
814,-116.85,False,False
815,153.6,True,False
816,19.68,True,False
817,-106.35,False,False
818,-80.58,False,False
819,92.0,True,False
820,-55.42,False,False
821,4.26,True,False
822,-81.91,False,False
823,117.55,True,False
824,-46.98,False,False
825,-25.78,False,False
826,-35.0,False,False
827,53.0,True,False
828,-21.36,False,False
829,-68.43,False,False
830,-48.1,False,False
831,-153.76,False,False
832,-46.54,False,False
833,-6.97,False,False
834,1.21,True,False
835,-62.48,False,False
836,-89.13,False,False
837,0.46,True,False
838,-44.38,False,False
839,-45.72,False,False
